  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.97
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.97
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.97
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.96
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.95
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.48, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.81, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.81, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
  q0:0.02, q1:-0.00, q2:-1.00, q3:-0.00 |Roll:179.47, Pitch:-2.82, Yaw:179.94
